dipina;0.7807017543859649
juan-ignacio-vazquez;0.6054421768707483
pablo-orduna;0.577922077922078
manuel-castro;0.559748427672956
aitor-almeida;0.5460122699386503
zubia;0.5460122699386503
iker-larizgoitia;0.5329341317365269
j-fernandez;0.5266272189349113
unai-aguilera;0.5235294117647059
unai-hernandez;0.5235294117647059
ignacio-angulo;0.5174418604651163
jonathan-garibay;0.5174418604651163
d-martin;0.5114942528735632
carlos-lamfus;0.5114942528735632
jaime-irurzun;0.5114942528735632
sancristobal;0.5085714285714286
s-martin;0.5085714285714286
xabier-laiseca;0.5056818181818182
joseba-abaitua;0.5028248587570622
josuka;0.4972067039106145
rodríguez;0.4972067039106145
david-sainz;0.489010989010989
ander-barbier;0.489010989010989
olga-dziabenko;0.478494623655914
javier-fernández;0.4734042553191489
iván-garcía;0.4734042553191489
rodriguez-gil;0.4734042553191489
d-garcia;0.4734042553191489
daniel-garcía;0.4734042553191489
ivan-garcia;0.4734042553191489
ivan-trueba;0.4708994708994709
saenz;0.4708994708994709
aitor-gomez-goiri;0.46596858638743455
inigo-sedano;0.4635416666666667
eduardo-castillejo;0.4635416666666667
jamardo;0.4635416666666667
david-bujan;0.46113989637305697
josé-bravo;0.4587628865979381
borja-sotomayor;0.4587628865979381
ester-gonzález-aguado;0.4564102564102564
torres-manzanera;0.4564102564102564
alzua-sorzabal;0.4564102564102564
sergio-fínez;0.4564102564102564
marcos-sacristan;0.45408163265306123
rafael-heras;0.45408163265306123
carmen-fuentes;0.4517766497461929
gregorio-casero;0.4517766497461929
rocío-peña;0.4517766497461929
marcos-vergara;0.4517766497461929
ramón-hervás;0.4517766497461929
david-ausin;0.4472361809045226
morales;0.4472361809045226
robles;0.4472361809045226
bernhard-klein;0.4472361809045226
alcarria;0.4472361809045226
sergio-blanco;0.4472361809045226
miguel-ángel-valero;0.4472361809045226
jon-valdés;0.4472361809045226
christian-guggenmos;0.4472361809045226
ignacio-sarralde;0.4472361809045226
g-gil;0.4472361809045226
francisco-flórez;0.4472361809045226
mikel-emaldi;0.445
tania-lorido;0.4427860696517413
unai-lópez;0.4427860696517413
mariluz-guenaga;0.4427860696517413
doamo;0.4238095238095238
cadenas;0.4218009478672986
gonzález;0.4218009478672986
ruiz;0.4218009478672986
poveda;0.4218009478672986
elio-san-cristóbal;0.4063926940639269
leire-muguira;0.3991031390134529
silvia-rentería;0.3938053097345133
izaskun-mendia;0.3938053097345133
asier-arruti;0.3938053097345133
losada;0.38197424892703863
g-diaz;0.38197424892703863
peire;0.38197424892703863
c-gil;0.38197424892703863
tawfik;0.38197424892703863
pesquera;0.38197424892703863
alves;0.37872340425531914
ana-belen-lago;0.35177865612648224
rezende;0.3423076923076923
conrado;0.3423076923076923
solana;0.3423076923076923
koza;0.3423076923076923
pardo;0.3423076923076923
ivan-pretel;0.26099706744868034
